,restaurant_name,ratings,review,location,time
71,Steak Khun Nine,4.3/5,(78),"603/1 อรุณอมรินทร์ บางกอกใหญ่ วัดอรุณ, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 10:00 PM                                    
"
72,Padthai Hoitod Chaowang,4.5/5,(7),"182/1 ถนนเทิดไทย33 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 10:00 PM                                    
"
73,KFC (Big C Daokhanong),4.6/5,(103),"1050 บิ๊กซีดาวคะนอง ชั้น 1 ห้องเลขที่ 104-105 ถ.สมเด็จพระเจ้าตากสิน บางโคล่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:45 PM                                    
"
74,Fae-Nom Pangpang,4.7/5,(18),"1034/10 ถนนเทอดไท ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        1:00 PM - 8:30 PM                                    
"
75,Somsak Pu-Ob Branch 2,4.5/5,(52),"124/17 ถนนธนบุรี คลองสาน บางลําภูล่าง, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        4:00 PM - 9:30 PM                                    
"
76,Share Tea (Icon Siam),0,,"299 ถ.เจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
77,Salad Factory (Sena Fest),4.7/5,(158),"Sena Fest, 542, 542/1-2 ถนน เจริญนคร แขวง คลองต้นไทร เขต คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM,                                             10:15 AM - 8:45 PM                                    
"
78,Thai & Vegetarian Food,5/5,(1),"1599 ถนนสุขุมวิท ซอยปรีดีพนมยงค์ 3 พระโขนงเหนือ คลองเตย, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:59 PM                                    
"
79,65 Steak Way,3.3/5,(3),"1232 ซอยสมเด็จพระเจ้าตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 1:30 AM,                                             4:30 PM - 11:59 PM                                    
"
80,Scoozi Pizzeria Italiana (Lighthouse),4.5/5,(240),"Soi Charoen Nakhon 14, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600, 10310 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:00 PM                                    
"
81,Kyo Roll En (ICONSIAM),0,,"ไอตอนสยาม ชั้น 3 299 ถ.เจริญนคร คลองสามวา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM,                                             10:15 AM - 8:45 PM                                    
"
82,Nom Nua Chaoroen Nakhon,4.8/5,(6),"192 คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:30 AM - 10:30 PM                                    
"
83,Horr Suki,4.5/5,(186),"126/8 วุฒากาศ 14 ถนนวุฒากาศ แขวงตลาดพลู เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        11:00 AM - 9:00 PM                                    
"
84,Pompam Arhan Tamsang,4.1/5,(8),"182/1 ซอยเทอดไท บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
85,Joke (Jao Gao Sam Yan),4.5/5,(4),"ซอยท่าดินแดง 15 สมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        3:00 PM - 9:00 PM                                    
"
86,Sagami (Central World),4.3/5,(71),"Central World, 4,4/1-4/2,4/4 Ratchadamri, floor 7, 10120 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
87,Khao Mok Kai Nai Ree,4/5,(12),"54/27 ถนนวุฒากาศ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        9:00 AM - 7:00 PM                                    
"
88,Tea A Fu,4.4/5,(22),"ซอยเทอดไท 9 แขวงบางยี่เรือ เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:30 AM - 6:30 PM                                    
"
89,Kuay Tiew Ped Hea Aung,4/5,(7),"65 ซอยจอมทอง 5, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 3:00 PM                                    
"
90,Gong Houd Tiew Ped,3.8/5,(8),"1177/2 ถนนอิสรภาพ หิรัญรูจี ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 4:45 PM                                    
"
91,Khaosoy Nhai Kala,4.2/5,(17),"1345 ถนนเจริญนคร บางลำพูล่าง, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 9:00 PM                                    
"
92,Laem Charoen Seafood (Icon Siam),4.6/5,(16),"299 อาคารไอคอนสยาม ชั้นที่ 5 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
93,Aum Nuay Phorn,0,,"531 ถนนสมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 5:00 PM                                    
"
